datetime,respondent_code,respondent_name,demand_value,units
2024-10-28 11:00:00,NE,New England,12560.0,megawatthours
2024-10-28 11:00:00,NE,New England,12094.0,megawatthours
2024-10-28 11:00:00,NE,New England,-423.0,megawatthours
2024-10-28 12:00:00,NE,New England,-640.0,megawatthours
2024-10-28 12:00:00,NE,New England,12890.0,megawatthours
2024-10-28 12:00:00,NE,New England,13560.0,megawatthours
2024-10-28 12:00:00,NE,New England,13530.0,megawatthours
2024-10-28 13:00:00,NE,New England,-204.0,megawatthours
2024-10-28 13:00:00,NE,New England,13103.0,megawatthours
2024-10-28 13:00:00,NE,New England,13290.0,megawatthours
2024-10-28 13:00:00,NE,New England,13307.0,megawatthours
2024-10-28 14:00:00,NE,New England,12532.0,megawatthours
2024-10-28 14:00:00,NE,New England,12500.0,megawatthours
2024-10-28 14:00:00,NE,New England,-243.0,megawatthours
2024-10-28 14:00:00,NE,New England,12289.0,megawatthours
2024-10-28 15:00:00,NE,New England,-272.0,megawatthours
2024-10-28 15:00:00,NE,New England,11607.0,megawatthours
2024-10-28 15:00:00,NE,New England,11160.0,megawatthours
2024-10-28 15:00:00,NE,New England,11879.0,megawatthours
2024-10-28 16:00:00,NE,New England,-142.0,megawatthours
2024-10-28 16:00:00,NE,New England,10686.0,megawatthours
2024-10-28 16:00:00,NE,New England,10160.0,megawatthours
2024-10-28 16:00:00,NE,New England,10828.0,megawatthours
2024-10-28 17:00:00,NE,New England,9640.0,megawatthours
2024-10-28 17:00:00,NE,New England,10220.0,megawatthours
2024-10-28 17:00:00,NE,New England,-12.0,megawatthours
2024-10-28 17:00:00,NE,New England,10208.0,megawatthours
2024-10-28 18:00:00,NE,New England,-18.0,megawatthours
2024-10-28 18:00:00,NE,New England,10341.0,megawatthours
2024-10-28 18:00:00,NE,New England,9560.0,megawatthours
2024-10-28 18:00:00,NE,New England,10359.0,megawatthours
2024-10-28 19:00:00,NE,New England,-80.0,megawatthours
2024-10-28 19:00:00,NE,New England,10597.0,megawatthours
2024-10-28 19:00:00,NE,New England,9950.0,megawatthours
2024-10-28 19:00:00,NE,New England,10677.0,megawatthours
2024-10-28 20:00:00,NE,New England,-459.0,megawatthours
2024-10-28 20:00:00,NE,New England,11057.0,megawatthours
2024-10-28 20:00:00,NE,New England,10880.0,megawatthours
2024-10-28 20:00:00,NE,New England,11516.0,megawatthours
2024-10-28 21:00:00,NE,New England,12664.0,megawatthours
2024-10-28 21:00:00,NE,New England,12320.0,megawatthours
2024-10-28 21:00:00,NE,New England,-690.0,megawatthours
2024-10-28 21:00:00,NE,New England,11974.0,megawatthours
2024-10-28 22:00:00,NE,New England,-830.0,megawatthours
2024-10-28 22:00:00,NE,New England,13212.0,megawatthours
2024-10-28 22:00:00,NE,New England,13740.0,megawatthours
2024-10-28 22:00:00,NE,New England,14042.0,megawatthours
2024-10-28 23:00:00,NE,New England,-1119.0,megawatthours
2024-10-28 23:00:00,NE,New England,13500.0,megawatthours
2024-10-28 23:00:00,NE,New England,14500.0,megawatthours
2024-10-28 23:00:00,NE,New England,14619.0,megawatthours
2024-10-29 00:00:00,NE,New England,-699.0,megawatthours
2024-10-29 00:00:00,NE,New England,13686.0,megawatthours
2024-10-29 00:00:00,NE,New England,14360.0,megawatthours
2024-10-29 00:00:00,NE,New England,14385.0,megawatthours
2024-10-29 01:00:00,NE,New England,13907.0,megawatthours
2024-10-29 01:00:00,NE,New England,12532.0,megawatthours
2024-10-29 01:00:00,NE,New England,-1375.0,megawatthours
2024-10-29 01:00:00,NE,New England,13900.0,megawatthours
2024-10-29 02:00:00,NE,New England,-1233.0,megawatthours
2024-10-29 02:00:00,NE,New England,11942.0,megawatthours
2024-10-29 02:00:00,NE,New England,13130.0,megawatthours
2024-10-29 02:00:00,NE,New England,13175.0,megawatthours
2024-10-29 03:00:00,NE,New England,-1258.0,megawatthours
2024-10-29 03:00:00,NE,New England,11139.0,megawatthours
2024-10-29 03:00:00,NE,New England,12110.0,megawatthours
2024-10-29 03:00:00,NE,New England,12397.0,megawatthours
2024-10-29 04:00:00,NE,New England,-1206.0,megawatthours
2024-10-29 04:00:00,NE,New England,10408.0,megawatthours
2024-10-29 04:00:00,NE,New England,11220.0,megawatthours
2024-10-29 04:00:00,NE,New England,11614.0,megawatthours
2024-10-29 05:00:00,NE,New England,11600.0,megawatthours
2024-10-29 05:00:00,NE,New England,-907.0,megawatthours
2024-10-29 05:00:00,NE,New England,10693.0,megawatthours
2024-10-29 05:00:00,NE,New England,10760.0,megawatthours
2024-10-29 06:00:00,NE,New England,-519.0,megawatthours
2024-10-29 06:00:00,NE,New England,10830.0,megawatthours
2024-10-29 06:00:00,NE,New England,10420.0,megawatthours
2024-10-29 06:00:00,NE,New England,11349.0,megawatthours
2024-10-29 07:00:00,NE,New England,-560.0,megawatthours
2024-10-29 07:00:00,NE,New England,10630.0,megawatthours
2024-10-29 07:00:00,NE,New England,10270.0,megawatthours
2024-10-29 07:00:00,NE,New England,11190.0,megawatthours
2024-10-29 08:00:00,NE,New England,-537.0,megawatthours
2024-10-29 08:00:00,NE,New England,10663.0,megawatthours
2024-10-29 08:00:00,NE,New England,10290.0,megawatthours
2024-10-29 08:00:00,NE,New England,11200.0,megawatthours
2024-10-29 09:00:00,NE,New England,11424.0,megawatthours
2024-10-29 09:00:00,NE,New England,-634.0,megawatthours
2024-10-29 09:00:00,NE,New England,10790.0,megawatthours
2024-10-29 09:00:00,NE,New England,10560.0,megawatthours
2024-10-29 10:00:00,NE,New England,-1122.0,megawatthours
2024-10-29 10:00:00,NE,New England,10832.0,megawatthours
2024-10-29 10:00:00,NE,New England,11430.0,megawatthours
2024-10-29 10:00:00,NE,New England,11954.0,megawatthours
2024-10-29 11:00:00,NE,New England,-1447.0,megawatthours
2024-10-29 11:00:00,NE,New England,11531.0,megawatthours
2024-10-29 11:00:00,NE,New England,12960.0,megawatthours
2024-10-29 11:00:00,NE,New England,12978.0,megawatthours
2024-10-29 12:00:00,NE,New England,-1713.0,megawatthours
2024-10-29 12:00:00,NE,New England,12125.0,megawatthours
2024-10-29 12:00:00,NE,New England,13850.0,megawatthours
2024-10-29 12:00:00,NE,New England,13838.0,megawatthours
2024-10-29 13:00:00,NE,New England,13603.0,megawatthours
2024-10-29 13:00:00,NE,New England,-1187.0,megawatthours
2024-10-29 13:00:00,NE,New England,12416.0,megawatthours
2024-10-29 13:00:00,NE,New England,13600.0,megawatthours
2024-10-29 14:00:00,NE,New England,-884.0,megawatthours
2024-10-29 14:00:00,NE,New England,12141.0,megawatthours
2024-10-29 14:00:00,NE,New England,13020.0,megawatthours
2024-10-29 14:00:00,NE,New England,13025.0,megawatthours
2024-10-29 15:00:00,NE,New England,-605.0,megawatthours
2024-10-29 15:00:00,NE,New England,12080.0,megawatthours
2024-10-29 15:00:00,NE,New England,12570.0,megawatthours
2024-10-29 15:00:00,NE,New England,12685.0,megawatthours
2024-10-29 16:00:00,NE,New England,12790.0,megawatthours
2024-10-29 16:00:00,NE,New England,12540.0,megawatthours
2024-10-29 16:00:00,NE,New England,12143.0,megawatthours
2024-10-29 16:00:00,NE,New England,-647.0,megawatthours
2024-10-29 17:00:00,NE,New England,12517.0,megawatthours
2024-10-29 17:00:00,NE,New England,12430.0,megawatthours
2024-10-29 17:00:00,NE,New England,13086.0,megawatthours
2024-10-29 17:00:00,NE,New England,-569.0,megawatthours
2024-10-29 18:00:00,NE,New England,-729.0,megawatthours
2024-10-29 18:00:00,NE,New England,12406.0,megawatthours
2024-10-29 18:00:00,NE,New England,12560.0,megawatthours
2024-10-29 18:00:00,NE,New England,13135.0,megawatthours
2024-10-29 19:00:00,NE,New England,-837.0,megawatthours
2024-10-29 19:00:00,NE,New England,11926.0,megawatthours
2024-10-29 19:00:00,NE,New England,12770.0,megawatthours
2024-10-29 19:00:00,NE,New England,12763.0,megawatthours
2024-10-29 20:00:00,NE,New England,13140.0,megawatthours
2024-10-29 20:00:00,NE,New England,13090.0,megawatthours
2024-10-29 20:00:00,NE,New England,-953.0,megawatthours
2024-10-29 20:00:00,NE,New England,12187.0,megawatthours
2024-10-29 21:00:00,NE,New England,-1156.0,megawatthours
2024-10-29 21:00:00,NE,New England,12549.0,megawatthours
2024-10-29 21:00:00,NE,New England,13460.0,megawatthours
2024-10-29 21:00:00,NE,New England,13705.0,megawatthours
2024-10-29 22:00:00,NE,New England,-1035.0,megawatthours
2024-10-29 22:00:00,NE,New England,13401.0,megawatthours
2024-10-29 22:00:00,NE,New England,14140.0,megawatthours
2024-10-29 22:00:00,NE,New England,14436.0,megawatthours
2024-10-29 23:00:00,NE,New England,-767.0,megawatthours
2024-10-29 23:00:00,NE,New England,13857.0,megawatthours
2024-10-29 23:00:00,NE,New England,14600.0,megawatthours
2024-10-29 23:00:00,NE,New England,14624.0,megawatthours
2024-10-30 00:00:00,NE,New England,14285.0,megawatthours
2024-10-30 00:00:00,NE,New England,14210.0,megawatthours
2024-10-30 00:00:00,NE,New England,-1002.0,megawatthours
2024-10-30 00:00:00,NE,New England,13283.0,megawatthours
2024-10-30 01:00:00,NE,New England,-1123.0,megawatthours
2024-10-30 01:00:00,NE,New England,12582.0,megawatthours
2024-10-30 01:00:00,NE,New England,13580.0,megawatthours
2024-10-30 01:00:00,NE,New England,13705.0,megawatthours
2024-10-30 02:00:00,NE,New England,-1014.0,megawatthours
2024-10-30 02:00:00,NE,New England,11833.0,megawatthours
2024-10-30 02:00:00,NE,New England,12640.0,megawatthours
2024-10-30 02:00:00,NE,New England,12847.0,megawatthours
2024-10-30 03:00:00,NE,New England,-1238.0,megawatthours
2024-10-30 03:00:00,NE,New England,10596.0,megawatthours
2024-10-30 03:00:00,NE,New England,11570.0,megawatthours
2024-10-30 03:00:00,NE,New England,11834.0,megawatthours
2024-10-30 04:00:00,NE,New England,11137.0,megawatthours
2024-10-30 04:00:00,NE,New England,-971.0,megawatthours
2024-10-30 04:00:00,NE,New England,10166.0,megawatthours
2024-10-30 04:00:00,NE,New England,10630.0,megawatthours
2024-10-30 05:00:00,NE,New England,-869.0,megawatthours
2024-10-30 05:00:00,NE,New England,9746.0,megawatthours
2024-10-30 05:00:00,NE,New England,10270.0,megawatthours
