date,region,type_name,sum,mean,min,max
2024-09-08T11,MISO,Natural Gas,15317.0,15317.0,15317.0,15317.0
2024-09-08T11,MISO,Nuclear,11650.0,11650.0,11650.0,11650.0
2024-09-08T11,MISO,Solar,4.0,4.0,4.0,4.0
2024-09-08T11,MISO,Wind,11754.0,11754.0,11754.0,11754.0
2024-09-08T11,PJM,Coal,7026.0,7026.0,7026.0,7026.0
2024-09-08T11,PJM,Hydro,322.0,322.0,322.0,322.0
2024-09-08T11,PJM,Natural Gas,32868.0,32868.0,32868.0,32868.0
2024-09-08T11,PJM,Nuclear,32274.0,32274.0,32274.0,32274.0
2024-09-08T11,PJM,Solar,539.0,539.0,539.0,539.0
2024-09-08T11,PJM,Wind,1218.0,1218.0,1218.0,1218.0
2024-09-08T12,MISO,Coal,13060.0,13060.0,13060.0,13060.0
2024-09-08T12,MISO,Hydro,455.0,455.0,455.0,455.0
2024-09-08T12,MISO,Natural Gas,14753.0,14753.0,14753.0,14753.0
2024-09-08T12,MISO,Nuclear,11672.0,11672.0,11672.0,11672.0
2024-09-08T12,MISO,Wind,11932.0,11932.0,11932.0,11932.0
2024-09-08T12,PJM,Coal,7111.0,7111.0,7111.0,7111.0
2024-09-08T12,PJM,Hydro,320.0,320.0,320.0,320.0
2024-09-08T12,PJM,Natural Gas,30430.0,30430.0,30430.0,30430.0
2024-09-08T12,PJM,Nuclear,32366.0,32366.0,32366.0,32366.0
2024-09-08T12,PJM,Solar,3926.0,3926.0,3926.0,3926.0
2024-09-08T12,PJM,Wind,1145.0,1145.0,1145.0,1145.0
2024-09-08T13,MISO,Coal,12790.0,12790.0,12790.0,12790.0
2024-09-08T13,MISO,Hydro,467.0,467.0,467.0,467.0
2024-09-08T13,MISO,Natural Gas,14954.0,14954.0,14954.0,14954.0
2024-09-08T13,MISO,Nuclear,11690.0,11690.0,11690.0,11690.0
2024-09-08T13,MISO,Solar,1175.0,1175.0,1175.0,1175.0
2024-09-08T13,MISO,Wind,11742.0,11742.0,11742.0,11742.0
2024-09-08T13,PJM,Coal,7073.0,7073.0,7073.0,7073.0
2024-09-08T13,PJM,Hydro,320.0,320.0,320.0,320.0
2024-09-08T13,PJM,Natural Gas,28564.0,28564.0,28564.0,28564.0
2024-09-08T13,PJM,Nuclear,32416.0,32416.0,32416.0,32416.0
2024-09-08T13,PJM,Solar,6556.0,6556.0,6556.0,6556.0
2024-09-08T13,PJM,Wind,1422.0,1422.0,1422.0,1422.0
2024-09-08T14,MISO,Coal,12635.0,12635.0,12635.0,12635.0
2024-09-08T14,MISO,Hydro,476.0,476.0,476.0,476.0
2024-09-08T14,MISO,Natural Gas,14251.0,14251.0,14251.0,14251.0
2024-09-08T14,MISO,Nuclear,11709.0,11709.0,11709.0,11709.0
2024-09-08T14,MISO,Solar,4088.0,4088.0,4088.0,4088.0
2024-09-08T14,MISO,Wind,10630.0,10630.0,10630.0,10630.0
2024-09-08T14,PJM,Coal,7049.0,7049.0,7049.0,7049.0
2024-09-08T14,PJM,Hydro,324.0,324.0,324.0,324.0
2024-09-08T14,PJM,Natural Gas,28204.0,28204.0,28204.0,28204.0
2024-09-08T14,PJM,Nuclear,32442.0,32442.0,32442.0,32442.0
2024-09-08T14,PJM,Solar,6976.0,6976.0,6976.0,6976.0
2024-09-08T14,PJM,Wind,1344.0,1344.0,1344.0,1344.0
2024-09-08T15,MISO,Coal,12484.0,12484.0,12484.0,12484.0
2024-09-08T15,MISO,Hydro,490.0,490.0,490.0,490.0
2024-09-08T15,MISO,Natural Gas,16979.0,16979.0,16979.0,16979.0
2024-09-08T15,MISO,Nuclear,11703.0,11703.0,11703.0,11703.0
2024-09-08T15,MISO,Solar,5903.0,5903.0,5903.0,5903.0
2024-09-08T15,MISO,Wind,7036.0,7036.0,7036.0,7036.0
2024-09-08T15,PJM,Coal,7104.0,7104.0,7104.0,7104.0
2024-09-08T15,PJM,Hydro,335.0,335.0,335.0,335.0
2024-09-08T15,PJM,Natural Gas,28812.0,28812.0,28812.0,28812.0
2024-09-08T15,PJM,Nuclear,32464.0,32464.0,32464.0,32464.0
2024-09-08T15,PJM,Solar,7286.0,7286.0,7286.0,7286.0
2024-09-08T15,PJM,Wind,1395.0,1395.0,1395.0,1395.0
2024-09-08T16,MISO,Coal,12559.0,12559.0,12559.0,12559.0
2024-09-08T16,MISO,Hydro,510.0,510.0,510.0,510.0
2024-09-08T16,MISO,Natural Gas,18510.0,18510.0,18510.0,18510.0
2024-09-08T16,MISO,Nuclear,11693.0,11693.0,11693.0,11693.0
2024-09-08T16,MISO,Solar,6629.0,6629.0,6629.0,6629.0
2024-09-08T16,MISO,Wind,6376.0,6376.0,6376.0,6376.0
2024-09-08T16,PJM,Coal,7291.0,7291.0,7291.0,7291.0
2024-09-08T16,PJM,Hydro,1082.0,1082.0,1082.0,1082.0
