date,region,fuel_type,type_name,total_generation,units
2024-10-07T03,PJM,NUC,Nuclear,30313.0,megawatthours
2024-10-07T03,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T03,PJM,WAT,Hydro,655.0,megawatthours
2024-10-07T03,PJM,WND,Wind,5451.0,megawatthours
2024-10-07T02,MISO,COL,Coal,20676.0,megawatthours
2024-10-07T02,MISO,NG,Natural Gas,27019.0,megawatthours
2024-10-07T02,MISO,NUC,Nuclear,10092.0,megawatthours
2024-10-07T02,MISO,SUN,Solar,2.0,megawatthours
2024-10-07T02,MISO,WAT,Hydro,1020.0,megawatthours
2024-10-07T02,MISO,WND,Wind,12414.0,megawatthours
2024-10-07T02,PJM,COL,Coal,12243.0,megawatthours
2024-10-07T02,PJM,NG,Natural Gas,29751.0,megawatthours
2024-10-07T02,PJM,NUC,Nuclear,30317.0,megawatthours
2024-10-07T02,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T02,PJM,WAT,Hydro,1073.0,megawatthours
2024-10-07T02,PJM,WND,Wind,5691.0,megawatthours
2024-10-07T01,MISO,COL,Coal,21172.0,megawatthours
2024-10-07T01,MISO,NG,Natural Gas,29513.0,megawatthours
2024-10-07T01,MISO,NUC,Nuclear,10087.0,megawatthours
2024-10-07T01,MISO,SUN,Solar,2.0,megawatthours
2024-10-07T01,MISO,WAT,Hydro,1715.0,megawatthours
2024-10-07T01,MISO,WND,Wind,12547.0,megawatthours
2024-10-07T01,PJM,COL,Coal,12275.0,megawatthours
2024-10-07T01,PJM,NG,Natural Gas,32810.0,megawatthours
2024-10-07T01,PJM,NUC,Nuclear,30472.0,megawatthours
2024-10-07T01,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T01,PJM,WAT,Hydro,1792.0,megawatthours
2024-10-07T01,PJM,WND,Wind,6267.0,megawatthours
2024-10-07T00,MISO,COL,Coal,20023.0,megawatthours
2024-10-07T00,MISO,NG,Natural Gas,30056.0,megawatthours
2024-10-07T00,MISO,NUC,Nuclear,10082.0,megawatthours
2024-10-07T00,MISO,SUN,Solar,304.0,megawatthours
2024-10-07T00,MISO,WAT,Hydro,1965.0,megawatthours
2024-10-07T00,MISO,WND,Wind,13948.0,megawatthours
2024-10-07T00,PJM,COL,Coal,12571.0,megawatthours
2024-10-07T00,PJM,NG,Natural Gas,36166.0,megawatthours
2024-10-07T00,PJM,NUC,Nuclear,30596.0,megawatthours
2024-10-07T00,PJM,SUN,Solar,15.0,megawatthours
2024-10-07T00,PJM,WAT,Hydro,2218.0,megawatthours
2024-10-07T00,PJM,WND,Wind,6291.0,megawatthours
2024-10-06T23,MISO,COL,Coal,18394.0,megawatthours
2024-10-06T23,MISO,NG,Natural Gas,27923.0,megawatthours
2024-10-06T23,MISO,NUC,Nuclear,10077.0,megawatthours
2024-10-06T23,MISO,SUN,Solar,3161.0,megawatthours
2024-10-06T23,MISO,WAT,Hydro,1641.0,megawatthours
2024-10-06T23,MISO,WND,Wind,17453.0,megawatthours
2024-10-06T23,PJM,COL,Coal,12717.0,megawatthours
2024-10-06T23,PJM,NG,Natural Gas,36836.0,megawatthours
2024-10-06T23,PJM,NUC,Nuclear,30637.0,megawatthours
2024-10-06T23,PJM,SUN,Solar,15.0,megawatthours
2024-10-06T23,PJM,WAT,Hydro,2755.0,megawatthours
2024-10-06T23,PJM,WND,Wind,6260.0,megawatthours
2024-10-06T22,MISO,COL,Coal,17390.0,megawatthours
2024-10-06T22,MISO,NG,Natural Gas,24860.0,megawatthours
2024-10-06T22,MISO,NUC,Nuclear,10077.0,megawatthours
2024-10-06T22,MISO,SUN,Solar,6252.0,megawatthours
2024-10-06T22,MISO,WAT,Hydro,955.0,megawatthours
2024-10-06T22,MISO,WND,Wind,18993.0,megawatthours
2024-10-06T22,PJM,COL,Coal,12417.0,megawatthours
2024-10-06T22,PJM,NG,Natural Gas,36426.0,megawatthours
2024-10-06T22,PJM,NUC,Nuclear,30574.0,megawatthours
2024-10-06T22,PJM,SUN,Solar,534.0,megawatthours
2024-10-06T22,PJM,WAT,Hydro,2707.0,megawatthours
2024-10-06T22,PJM,WND,Wind,6780.0,megawatthours
2024-10-06T21,MISO,COL,Coal,16876.0,megawatthours
2024-10-06T21,MISO,NG,Natural Gas,23562.0,megawatthours
2024-10-06T21,MISO,NUC,Nuclear,10077.0,megawatthours
2024-10-06T21,MISO,SUN,Solar,6861.0,megawatthours
2024-10-06T21,MISO,WAT,Hydro,505.0,megawatthours
2024-10-06T21,MISO,WND,Wind,19379.0,megawatthours
2024-10-06T21,PJM,COL,Coal,11303.0,megawatthours
2024-10-06T21,PJM,NG,Natural Gas,35612.0,megawatthours
2024-10-06T21,PJM,NUC,Nuclear,30519.0,megawatthours
2024-10-06T21,PJM,SUN,Solar,3687.0,megawatthours
2024-10-06T21,PJM,WAT,Hydro,2471.0,megawatthours
2024-10-06T21,PJM,WND,Wind,7005.0,megawatthours
2024-10-06T20,MISO,COL,Coal,16322.0,megawatthours
2024-10-06T20,MISO,NG,Natural Gas,22213.0,megawatthours
2024-10-06T20,MISO,NUC,Nuclear,10077.0,megawatthours
2024-10-06T20,MISO,SUN,Solar,6935.0,megawatthours
2024-10-06T20,MISO,WAT,Hydro,493.0,megawatthours
2024-10-06T20,MISO,WND,Wind,19841.0,megawatthours
2024-10-06T20,PJM,COL,Coal,9844.0,megawatthours
2024-10-06T20,PJM,NG,Natural Gas,33370.0,megawatthours
2024-10-06T20,PJM,NUC,Nuclear,30494.0,megawatthours
2024-10-06T20,PJM,SUN,Solar,6332.0,megawatthours
2024-10-06T20,PJM,WAT,Hydro,2028.0,megawatthours
2024-10-06T20,PJM,WND,Wind,7153.0,megawatthours
2024-10-06T19,MISO,COL,Coal,16224.0,megawatthours
2024-10-06T19,MISO,NG,Natural Gas,20425.0,megawatthours
2024-10-06T19,MISO,NUC,Nuclear,10075.0,megawatthours
2024-10-06T19,MISO,SUN,Solar,6764.0,megawatthours
2024-10-06T19,MISO,WAT,Hydro,483.0,megawatthours
2024-10-06T19,MISO,WND,Wind,19663.0,megawatthours
2024-10-06T19,PJM,COL,Coal,9320.0,megawatthours
2024-10-06T19,PJM,NG,Natural Gas,30027.0,megawatthours
2024-10-06T19,PJM,NUC,Nuclear,30452.0,megawatthours
2024-10-06T19,PJM,SUN,Solar,6685.0,megawatthours
2024-10-06T19,PJM,WAT,Hydro,1838.0,megawatthours
2024-10-06T19,PJM,WND,Wind,6499.0,megawatthours
2024-10-06T18,MISO,COL,Coal,16471.0,megawatthours
2024-10-06T18,MISO,NG,Natural Gas,19612.0,megawatthours
2024-10-06T18,MISO,NUC,Nuclear,10078.0,megawatthours
2024-10-06T18,MISO,SUN,Solar,6860.0,megawatthours
2024-10-06T18,MISO,WAT,Hydro,487.0,megawatthours
2024-10-06T18,MISO,WND,Wind,18805.0,megawatthours
2024-10-06T18,PJM,COL,Coal,8750.0,megawatthours
2024-10-06T18,PJM,NG,Natural Gas,29427.0,megawatthours
2024-10-06T18,PJM,NUC,Nuclear,30409.0,megawatthours
2024-10-06T18,PJM,SUN,Solar,6742.0,megawatthours
2024-10-06T18,PJM,WAT,Hydro,1188.0,megawatthours
2024-10-06T18,PJM,WND,Wind,6596.0,megawatthours
2024-10-06T17,MISO,COL,Coal,15009.0,megawatthours
2024-10-06T17,MISO,NG,Natural Gas,18525.0,megawatthours
2024-10-06T17,MISO,NUC,Nuclear,10081.0,megawatthours
2024-10-06T17,MISO,SUN,Solar,7116.0,megawatthours
2024-10-06T17,MISO,WAT,Hydro,486.0,megawatthours
2024-10-06T17,MISO,WND,Wind,18284.0,megawatthours
2024-10-06T17,PJM,COL,Coal,8527.0,megawatthours
2024-10-06T17,PJM,NG,Natural Gas,27414.0,megawatthours
2024-10-06T17,PJM,NUC,Nuclear,30407.0,megawatthours
2024-10-06T17,PJM,SUN,Solar,6695.0,megawatthours
2024-10-06T17,PJM,WAT,Hydro,878.0,megawatthours
2024-10-06T17,PJM,WND,Wind,6234.0,megawatthours
2024-10-06T16,MISO,COL,Coal,13912.0,megawatthours
2024-10-06T16,MISO,NG,Natural Gas,17230.0,megawatthours
2024-10-06T16,MISO,NUC,Nuclear,10085.0,megawatthours
2024-10-06T16,MISO,SUN,Solar,7006.0,megawatthours
2024-10-06T16,MISO,WAT,Hydro,464.0,megawatthours
2024-10-06T16,MISO,WND,Wind,18372.0,megawatthours
2024-10-06T16,PJM,COL,Coal,8269.0,megawatthours
2024-10-06T16,PJM,NG,Natural Gas,26615.0,megawatthours
2024-10-06T16,PJM,NUC,Nuclear,30341.0,megawatthours
2024-10-06T16,PJM,SUN,Solar,6710.0,megawatthours
2024-10-06T16,PJM,WAT,Hydro,710.0,megawatthours
2024-10-06T16,PJM,WND,Wind,4940.0,megawatthours
2024-10-06T15,MISO,COL,Coal,13497.0,megawatthours
2024-10-06T15,MISO,NG,Natural Gas,15168.0,megawatthours
2024-10-06T15,MISO,NUC,Nuclear,10090.0,megawatthours
2024-10-06T15,MISO,SUN,Solar,6318.0,megawatthours
2024-10-06T15,MISO,WAT,Hydro,463.0,megawatthours
2024-10-06T15,MISO,WND,Wind,18228.0,megawatthours
2024-10-06T15,PJM,COL,Coal,8035.0,megawatthours
2024-10-06T15,PJM,NG,Natural Gas,25905.0,megawatthours
2024-10-06T15,PJM,NUC,Nuclear,30313.0,megawatthours
2024-10-06T15,PJM,SUN,Solar,6520.0,megawatthours
2024-10-06T15,PJM,WAT,Hydro,690.0,megawatthours
2024-10-06T15,PJM,WND,Wind,3947.0,megawatthours
2024-10-06T14,MISO,COL,Coal,13715.0,megawatthours
2024-10-06T14,MISO,NG,Natural Gas,14951.0,megawatthours
2024-10-06T14,MISO,NUC,Nuclear,10097.0,megawatthours
2024-10-06T14,MISO,SUN,Solar,3804.0,megawatthours
2024-10-06T14,MISO,WAT,Hydro,460.0,megawatthours
2024-10-06T14,MISO,WND,Wind,17766.0,megawatthours
2024-10-06T14,PJM,COL,Coal,8264.0,megawatthours
2024-10-06T14,PJM,NG,Natural Gas,25696.0,megawatthours
2024-10-06T14,PJM,NUC,Nuclear,30353.0,megawatthours
2024-10-06T14,PJM,SUN,Solar,6150.0,megawatthours
2024-10-06T14,PJM,WAT,Hydro,686.0,megawatthours
2024-10-06T14,PJM,WND,Wind,3677.0,megawatthours
2024-10-06T13,MISO,COL,Coal,13452.0,megawatthours
2024-10-06T13,MISO,NG,Natural Gas,15139.0,megawatthours
2024-10-06T13,MISO,NUC,Nuclear,10096.0,megawatthours
2024-10-06T13,MISO,SUN,Solar,475.0,megawatthours
2024-10-06T13,MISO,WAT,Hydro,456.0,megawatthours
2024-10-06T13,MISO,WND,Wind,18821.0,megawatthours
